user_id,first_name,last_name,gender,city,major,degree_type,gpa,skill_name,skill_level
U0000,Nhi,Pham,Male,Hanoi,Computer Science,Master,2.96,Machine Learning,L2
U0001,Trang,Le,Female,Ho Chi Minh,Finance,Master,2.61,"Data Analysis, Excel","L4, L2"
U0002,Phuc,Phan,Male,Da Nang,Computer Science,Bachelor,3.56,"R, Machine Learning, Java, Python","L3, L2, L2, L4"
U0003,Linh,Hoang,Male,Da Nang,Finance,Master,3.85,"Accounting, Power BI, Excel, SQL","L1, L2, L3, L1"
U0004,Nhi,Hoang,Female,Da Nang,Information Systems,Master,3.43,"Data Visualization, Python","L2, L3"
U0005,Hoa,Dang,Male,Hanoi,Marketing,Master,3.95,Marketing Strategy,L2
U0006,Huy,Pham,Male,Ho Chi Minh,Marketing,Bachelor,2.1,"Social Media, Power BI","L2, L3"
U0007,Nhi,Pham,Female,Ho Chi Minh,Business Administration,Bachelor,2.07,"Project Management, Communication, Leadership, Excel","L1, L3, L2, L4"
U0008,Phuc,Do,Male,Da Nang,Finance,Master,3.79,"Power BI, Accounting","L3, L3"
U0009,Linh,Vo,Male,Da Nang,Business Administration,Bachelor,3.8,"Negotiation, Project Management, Communication, Leadership, Excel","L4, L2, L2, L2, L2"
U0010,Trang,Pham,Male,Ho Chi Minh,Business Administration,Bachelor,2.21,"Excel, Communication","L4, L3"
U0011,Phuc,Tran,Male,Ho Chi Minh,Finance,Bachelor,2.71,"Data Analysis, Accounting","L3, L1"
U0012,Phuc,Vo,Male,Da Nang,Marketing,Master,3.67,"Power BI, Marketing Strategy, Communication","L2, L3, L1"
U0013,Huy,Tran,Male,Ho Chi Minh,Finance,Master,2.26,Accounting,L1
U0014,Tuan,Hoang,Male,Da Nang,Information Systems,Bachelor,2.53,"Python, Data Visualization, SQL, Power BI, Excel","L1, L1, L1, L1, L1"
U0015,Linh,Vo,Male,Hanoi,Business Administration,Master,3.36,"Communication, Negotiation, Leadership, Excel, Project Management","L2, L4, L4, L2, L1"
U0016,Anh,Pham,Female,Da Nang,Business Administration,Bachelor,3.96,"Communication, Excel, Leadership","L3, L2, L4"
U0017,Phuc,Le,Male,Hanoi,Finance,Bachelor,3.59,"Data Analysis, Accounting, Excel","L4, L1, L1"
U0018,Tuan,Dang,Male,Ho Chi Minh,Business Administration,Master,3.55,"Negotiation, Leadership","L3, L2"
U0019,Anh,Tran,Female,Da Nang,Marketing,Bachelor,2.69,"Social Media, Communication, Excel, Power BI","L4, L2, L1, L4"
U0020,Linh,Vo,Male,Hanoi,Business Administration,Bachelor,3.32,"Leadership, Negotiation, Project Management, Excel","L3, L2, L4, L2"
U0021,Minh,Pham,Male,Hanoi,Finance,Bachelor,2.23,"Data Analysis, Accounting, Power BI, SQL, Excel","L4, L1, L2, L4, L1"
U0022,Hoa,Vo,Male,Ho Chi Minh,Marketing,Bachelor,3.98,"Social Media, Excel","L3, L3"
U0023,Tuan,Pham,Male,Hanoi,Marketing,Master,2.96,Excel,L1
U0024,Khanh,Pham,Male,Hanoi,Business Administration,Bachelor,3.28,"Leadership, Communication, Excel, Project Management, Negotiation","L4, L1, L4, L4, L2"
U0025,Minh,Pham,Male,Hanoi,Finance,Master,3.75,"Accounting, Excel, Power BI, Data Analysis, SQL","L4, L1, L4, L4, L4"
U0026,Hoa,Do,Female,Hanoi,Business Administration,Bachelor,2,"Project Management, Communication, Excel, Negotiation, Leadership","L1, L3, L4, L3, L3"
U0027,Huy,Dang,Female,Hanoi,Information Systems,Master,3.95,"Data Visualization, Power BI","L2, L1"
U0028,Nhi,Le,Female,Da Nang,Information Systems,Bachelor,2.72,"Excel, SQL, Python, Power BI","L3, L4, L3, L2"
U0029,Trang,Le,Female,Ho Chi Minh,Marketing,Bachelor,2.68,"Power BI, Excel, Marketing Strategy, Social Media, Communication","L4, L1, L2, L3, L2"
U0030,Khanh,Vo,Female,Ho Chi Minh,Business Administration,Master,2.29,Project Management,L2
U0031,Huy,Vo,Male,Ho Chi Minh,Information Systems,Master,3.72,Python,L4
U0032,Linh,Pham,Male,Hanoi,Computer Science,Bachelor,3.74,Machine Learning,L2
U0033,Huy,Do,Male,Da Nang,Information Systems,Bachelor,2.04,"Excel, Power BI","L4, L3"
U0034,Nhi,Pham,Male,Da Nang,Business Administration,Bachelor,2.11,"Project Management, Negotiation, Excel","L4, L4, L4"
U0035,Linh,Do,Male,Hanoi,Business Administration,Bachelor,3.84,"Project Management, Leadership, Communication","L3, L1, L2"
U0036,Khanh,Pham,Female,Hanoi,Information Systems,Bachelor,2.25,SQL,L3
U0037,Nhi,Tran,Female,Hanoi,Business Administration,Master,3.24,"Excel, Leadership, Negotiation","L4, L4, L4"
U0038,Anh,Tran,Male,Da Nang,Business Administration,Master,3.24,Excel,L2
U0039,Trang,Hoang,Male,Ho Chi Minh,Computer Science,Bachelor,3.74,"Machine Learning, Data Structures, R","L1, L3, L3"
U0040,Khanh,Pham,Male,Ho Chi Minh,Marketing,Master,3.15,"Power BI, Social Media, Marketing Strategy, Communication, Excel","L4, L1, L1, L1, L4"
U0041,Anh,Dang,Female,Da Nang,Business Administration,Master,2.87,Excel,L2
U0042,Hoa,Hoang,Female,Ho Chi Minh,Finance,Bachelor,3.95,"Accounting, Power BI, Data Analysis","L3, L1, L3"
U0043,Khanh,Vo,Male,Ho Chi Minh,Marketing,Master,2.46,"Social Media, Communication, Power BI, Excel, Marketing Strategy","L1, L1, L2, L4, L2"
U0044,Hoa,Phan,Female,Ho Chi Minh,Marketing,Bachelor,2.53,Marketing Strategy,L3
